Jenis,Jumlah Lengan,Cabang Lengan,Bentuk Morfologi,Knob,Ukuran Lengan,Bentuk Lengan,Bentuk Ujung Lengan,Bentuk Ujung Lengan Melengkung,Spesies
Discoaster surculus,6,1,1,1,1,1,1,1,22
Discoaster triradiatus,3,0,1,1,1,0,1,1,1
Discoaster kugleri,6,1,1,0,0,1,0,0,36
Discoaster hamatus,5,1,1,0,1,0,1,1,16
Discoaster brouweri-like preservational morphotypes,6,0,1,1,0,1,0,0,13
Discoaster loeblichii,6,1,1,0,1,0,1,0,26
Discoaster mediosus,6,1,1,1,1,0,1,0,44
Discoaster nodifer,5,1,1,1,1,0,1,0,50
Discoaster septemradiatus,8,0,1,1,0,0,1,1,53
Discoaster tanii,5,0,1,1,1,0,1,1,57
Discoaster tanii,5,0,1,1,1,0,1,1,57
Discoaster asymmetricus,5,0,0,1,1,0,1,1,4
Discoaster nodifer,5,1,1,1,1,0,1,1,49
Discoaster septemradiatus,8,0,1,1,0,0,1,1,53
Discoaster tanii,5,0,1,1,1,0,1,1,57
Discoaster pentaradiatus,5,1,1,1,1,0,1,1,14
Discoaster formosus,6,0,1,1,1,0,1,0,11
Discoaster gemmifer,8,0,1,1,1,0,1,0,42
Discoaster hamatus,5,1,1,0,1,0,1,1,16
Discoaster williamsii,35,0,0,1,1,0,0,0,62
Discoaster variabilis,6,1,1,1,1,1,1,0,25
Discoaster tamalis,4,0,1,1,1,0,1,1,2
Discoaster surculus,6,1,1,1,1,1,1,1,22
Discoaster pentaradiatus,5,1,1,1,1,0,1,1,14
Discoaster colletii,7,1,1,0,0,0,0,0,39
Discoaster exilis,6,1,1,1,1,1,1,0,28
Discoaster binodosus,5,1,1,1,1,0,0,0,46
Discoaster distinctus,6,0,1,0,0,1,0,0,51
Discoaster quinqueramus,5,0,1,1,1,0,1,1,18
Discoaster septemradiatus,6,0,1,1,1,1,1,1,55
Discoaster tani ornatus,6,0,1,1,1,0,1,1,58
Discoaster exilis,6,1,1,1,1,1,1,0,28
Discoaster distinctus,6,0,1,0,0,1,0,0,51
Discoaster cruciformis,4,0,1,0,1,0,1,1,38
Discoaster brouweri,6,0,1,1,1,0,1,1,5
Discoaster braarudii,6,0,1,1,1,1,1,0,8
Discoaster bellus,5,0,1,0,1,1,1,0,17
Discoaster tamalis,4,0,1,1,1,0,1,1,2
Discoaster mendomobensis,6,1,1,1,0,1,1,1,27
Discoaster alyssae,4,0,0,0,1,0,1,1,3
Discoaster musicus,6,1,1,1,0,1,0,0,32
Discoaster gemmifer,8,0,1,1,1,0,1,0,42
Discoaster variabilis,6,1,1,1,1,1,1,0,25
Discoaster pseudovariabilis,6,1,1,1,1,0,1,1,23
Discoaster istanbulensis,5,0,0,1,1,0,1,1,59
Discoaster triradiatus,3,0,1,1,1,0,1,1,1
